Date,Employee ID,Check-in Time,Check-out Time,Shift
2023-01-28,E07658,21:08:30,08:18:54,Night
2023-12-09,E03838,02:15:57,23:26:51,Night
2023-11-02,E06259,22:53:25,03:08:40,Night
2023-02-17,E07079,20:23:00,16:21:57,Morning
2023-05-28,E03589,06:51:30,05:51:13,Morning
2023-02-04,E00453,15:33:38,21:41:53,Evening
2023-05-08,E00533,17:25:34,15:26:32,Morning
2023-07-12,E02915,16:40:34,17:50:41,Night
2023-05-05,E03646,11:21:20,02:04:36,Evening
2023-09-10,E07440,03:06:14,10:50:59,Evening
2023-02-13,E00361,02:54:36,06:42:57,Morning
2023-03-22,E06636,22:10:00,19:14:11,Evening
2023-02-04,E08743,01:13:19,04:20:17,Night
2023-12-12,E07700,16:53:09,02:10:38,Night
2023-02-23,E06613,12:05:45,20:59:09,Evening
2023-09-17,E03569,09:39:49,16:46:04,Evening
2023-02-26,E09119,21:49:51,13:49:54,Night
2023-07-23,E01327,15:53:28,18:36:24,Evening
2023-06-18,E05626,23:46:16,14:28:23,Evening
2023-12-29,E06618,06:56:51,21:14:49,Morning
2023-11-02,E09587,15:15:34,20:40:27,Evening
2023-01-16,E02257,11:40:38,22:45:52,Morning
2023-02-21,E02994,02:14:30,05:07:00,Night
2023-08-30,E06508,12:04:10,10:31:08,Night
2023-07-11,E04841,21:29:29,22:26:06,Night
2023-04-23,E01639,02:46:48,21:15:51,Morning
2023-08-20,E04901,20:36:07,07:13:35,Night
2023-01-19,E09300,03:11:03,14:32:01,Night
2023-04-30,E05139,04:31:16,21:41:35,Night
2023-05-24,E02707,09:47:17,22:07:38,Night
2023-10-15,E03306,13:23:00,11:29:05,Night
2023-09-01,E05708,16:34:31,05:45:22,Night
2023-09-19,E08931,23:46:34,00:35:48,Night
2023-11-24,E02861,12:51:22,02:52:15,Evening
2023-02-18,E08165,20:27:46,19:01:45,Morning
2023-08-14,E05704,00:39:57,08:38:46,Night
2023-07-08,E04451,21:13:24,07:04:38,Night
2023-07-13,E07799,13:06:59,03:12:58,Night
2023-02-25,E08783,13:37:56,03:19:33,Evening
2023-01-11,E08226,11:59:43,23:27:21,Night
2023-06-29,E07133,15:37:27,11:15:27,Evening
2023-11-13,E09492,21:30:14,20:14:38,Night
2023-11-04,E03584,17:32:11,02:15:40,Evening
2023-01-22,E07043,06:28:13,05:39:43,Night
2023-07-12,E06738,19:28:57,08:48:21,Morning
2023-04-16,E01622,19:39:46,18:12:57,Night
2023-01-20,E06409,01:14:12,22:54:12,Night
2023-04-22,E08892,01:24:26,23:43:55,Evening
2023-10-10,E05225,04:31:33,15:28:38,Night
2023-06-26,E05602,07:19:40,06:56:10,Night
2023-06-04,E05964,07:03:54,21:11:15,Night
2023-03-11,E03552,10:09:03,13:44:01,Night
2023-12-27,E03859,14:30:06,07:32:10,Morning
2023-09-05,E03229,23:43:44,07:56:14,Evening
2023-09-16,E00742,09:45:09,05:58:34,Evening
2023-09-13,E06330,18:41:17,20:13:52,Night
2023-08-07,E07422,04:46:03,00:29:04,Night
2023-12-30,E09953,19:40:58,00:03:34,Morning
2023-12-06,E05846,22:04:56,08:58:43,Morning
2023-04-28,E06568,06:52:59,09:58:03,Night
2023-03-15,E02753,07:46:40,23:37:07,Night
2023-01-05,E04824,13:14:44,06:36:55,Night
2023-11-14,E02451,22:59:59,00:07:27,Evening
2023-05-02,E01069,17:10:10,11:34:54,Morning
2023-08-15,E06219,23:27:19,16:06:27,Night
2023-11-30,E09199,17:16:41,22:24:19,Night
2023-04-10,E04672,17:38:54,10:19:57,Evening
2023-06-26,E08551,11:19:51,18:18:12,Morning
2023-01-07,E08496,10:19:47,09:08:57,Evening
2023-08-30,E03418,04:34:28,11:36:58,Evening
2023-07-27,E03961,12:41:20,19:47:23,Morning
2023-12-30,E03893,06:21:31,20:28:37,Evening
2023-05-03,E04453,06:56:07,02:07:53,Evening
2023-03-21,E00558,20:52:17,08:27:29,Evening
2023-09-17,E07523,15:27:01,03:24:37,Night
2023-10-05,E02763,23:46:46,15:22:10,Evening
2023-12-15,E08448,01:59:20,02:33:20,Morning
2023-08-22,E01266,14:43:41,05:10:56,Evening
2023-04-24,E05303,13:56:05,18:51:56,Morning
2023-04-04,E05415,13:21:04,19:46:48,Evening
2023-03-19,E07829,03:37:48,02:51:27,Evening
2023-12-16,E01211,16:48:28,04:05:12,Evening
2023-10-18,E08597,08:00:24,13:05:04,Evening
2023-02-02,E01126,09:49:13,08:01:55,Night
2023-12-27,E00843,10:52:29,08:46:17,Night
2023-11-10,E03215,07:12:42,23:58:30,Night
2023-03-23,E07703,23:06:33,14:22:33,Evening
2023-10-31,E02147,07:00:04,11:23:00,Evening
2023-10-01,E09086,01:11:01,11:05:54,Morning
2023-12-10,E02898,02:51:51,01:56:56,Evening
2023-07-03,E02179,21:09:19,19:22:00,Evening
2023-02-14,E07454,21:41:34,07:01:32,Evening
2023-11-18,E04981,18:54:27,01:51:19,Evening
2023-06-04,E02418,15:15:50,23:14:13,Evening
2023-02-20,E05257,06:26:21,17:58:21,Evening
2023-04-29,E02730,16:58:59,18:00:29,Morning
2023-02-01,E02317,11:03:19,04:26:45,Night
2023-11-17,E06158,06:03:44,03:22:31,Night
2023-05-10,E01026,18:36:00,08:56:54,Morning
2023-02-08,E03565,06:56:43,23:45:16,Night
2023-07-22,E01729,09:03:00,02:36:35,Morning
2023-06-28,E02776,20:11:54,14:09:09,Night
2023-02-02,E00220,13:40:54,02:31:15,Evening
2023-11-11,E02728,14:53:10,21:41:59,Morning
2023-01-19,E07108,23:40:20,03:15:00,Night
2023-01-29,E00297,09:11:09,21:20:19,Morning
2023-12-18,E05208,09:00:49,08:49:38,Morning
2023-07-21,E01433,15:09:19,21:25:26,Morning
2023-09-27,E00416,02:11:55,02:57:50,Evening
2023-10-05,E01953,06:54:54,14:43:31,Morning
2023-04-17,E03889,05:58:08,17:05:41,Night
2023-08-30,E06599,22:19:41,13:03:16,Morning
2023-10-04,E00407,11:40:18,02:08:54,Evening
2023-06-25,E09313,09:31:28,09:14:14,Night
2023-12-23,E03908,13:21:50,08:47:59,Evening
2023-07-12,E06125,20:40:39,22:41:43,Evening
2023-11-19,E06508,05:01:04,16:36:32,Morning
2023-05-05,E03745,04:07:51,14:26:49,Morning
2023-03-26,E02044,09:28:35,18:53:31,Evening
2023-01-02,E00220,08:51:07,04:37:49,Night
2023-07-23,E06601,21:29:23,12:37:43,Night
2023-04-29,E00304,00:04:41,11:11:12,Morning
2023-06-13,E04293,01:35:21,17:06:56,Evening
2023-02-23,E01348,08:52:39,14:10:07,Morning
2023-04-13,E02120,17:23:36,20:53:22,Morning
2023-02-16,E06022,02:22:44,08:00:44,Morning
2023-01-01,E07513,22:12:11,04:57:38,Morning
2023-09-16,E08355,15:51:07,00:12:15,Morning
2023-07-05,E01293,23:14:50,15:19:44,Evening
2023-08-21,E08218,18:05:12,13:02:01,Morning
2023-06-08,E04048,16:22:02,16:50:52,Evening
2023-05-31,E01600,13:45:40,16:46:07,Night
2023-10-13,E02107,13:27:15,03:22:49,Night
2023-02-24,E08447,14:37:06,21:38:07,Morning
2023-03-02,E08769,11:24:45,20:00:44,Morning
2023-04-24,E04405,18:56:40,08:07:46,Evening
2023-02-24,E09677,08:12:19,09:53:08,Evening
2023-10-03,E03890,00:22:38,15:30:56,Night
2023-04-03,E08020,01:27:12,06:26:58,Morning
2023-03-07,E01753,05:45:10,11:03:53,Night
2023-08-17,E08936,22:19:35,16:49:14,Night
2023-08-13,E00862,15:54:17,05:17:57,Night
2023-02-27,E09236,07:56:53,16:37:13,Night
2023-04-20,E08599,23:41:41,05:48:53,Night
2023-01-22,E04115,14:28:47,02:23:31,Evening
2023-03-04,E03917,10:37:01,11:48:56,Evening
2023-06-08,E09440,05:00:53,21:09:29,Night
2023-07-10,E04429,11:17:38,00:16:30,Night
2023-05-21,E00076,04:49:08,12:00:25,Night
2023-05-13,E09629,12:07:37,02:01:01,Morning
2023-06-05,E06702,11:40:35,02:06:05,Morning
2023-10-18,E08847,08:52:53,22:56:08,Night
2023-07-23,E06561,20:11:38,19:00:34,Night
2023-01-22,E03192,15:21:24,06:39:01,Morning
2023-05-11,E00527,12:51:26,13:42:14,Night
2023-05-29,E09471,21:58:35,23:39:35,Evening
2023-10-17,E06649,13:50:21,02:15:10,Night
2023-06-30,E03875,10:51:44,03:33:17,Morning
2023-03-11,E06174,17:25:05,13:31:04,Evening
2023-03-17,E08577,17:50:33,15:44:05,Night
2023-11-27,E09739,14:48:21,16:06:51,Night
2023-04-24,E00401,00:42:23,19:24:25,Night
2023-07-04,E07488,06:28:22,08:17:10,Morning
2023-05-04,E02354,05:52:13,04:36:09,Evening
2023-01-03,E03380,17:21:20,18:01:54,Night
2023-02-10,E07867,01:32:53,15:22:10,Night
2023-07-22,E03106,21:25:12,21:35:57,Evening
2023-10-20,E07901,18:23:37,09:29:36,Morning
2023-03-17,E00986,03:32:55,11:50:40,Morning
2023-12-29,E05829,20:27:53,14:15:24,Night
2023-04-28,E03942,06:41:06,17:40:13,Night
2023-04-05,E08428,07:14:10,01:43:15,Morning
2023-11-07,E08292,11:27:11,21:17:11,Evening
2023-05-07,E09362,21:23:53,11:42:01,Night
2023-03-04,E08525,11:41:12,21:51:49,Evening
2023-11-10,E05954,05:24:21,22:33:14,Night
2023-04-14,E09450,01:06:49,19:35:20,Night
2023-11-05,E04410,18:04:16,11:45:49,Night
2023-12-31,E07252,22:52:30,15:06:10,Morning
2023-08-28,E04655,13:25:03,04:15:20,Evening
2023-08-22,E08357,06:00:24,15:52:52,Morning
2023-11-08,E08122,07:04:33,03:09:29,Night
2023-02-13,E01846,10:41:16,14:45:22,Evening
2023-04-03,E03050,05:40:05,15:36:59,Night
2023-11-13,E03830,08:04:22,16:27:12,Morning
2023-01-15,E09634,19:13:40,14:38:01,Morning
2023-06-07,E06735,02:37:28,22:02:12,Morning
2023-09-29,E01004,02:17:52,12:09:47,Night
2023-04-01,E07797,01:51:33,17:52:45,Night
2023-08-10,E04535,16:43:40,15:12:23,Night
2023-02-23,E09955,08:50:51,22:46:03,Evening
2023-11-20,E02276,06:47:59,04:10:01,Evening
2023-10-11,E06049,06:09:11,10:02:36,Night
2023-08-25,E03852,03:09:26,20:23:48,Evening
2023-02-22,E08454,23:35:28,15:04:11,Evening
2023-04-26,E08859,14:46:11,23:51:19,Morning
2023-07-18,E04292,06:51:41,07:49:25,Evening
2023-10-14,E02471,02:31:55,02:17:10,Evening
2023-07-30,E07692,21:50:47,07:26:49,Night
2023-06-24,E08444,21:18:07,07:09:04,Evening
2023-09-15,E07796,03:39:05,08:46:41,Morning
2023-06-11,E07786,20:50:29,01:22:05,Morning
2023-01-15,E08909,06:46:15,09:58:26,Evening
2023-04-22,E09840,17:59:13,06:05:55,Evening
2023-02-07,E00552,21:54:10,17:42:19,Night
2023-08-08,E05842,15:35:02,22:25:08,Evening
2023-11-01,E02870,16:39:12,17:33:34,Evening
2023-11-02,E05901,05:43:04,20:50:43,Evening
2023-03-31,E05219,17:48:17,00:16:26,Evening
2023-03-06,E03943,06:32:05,18:42:45,Night
2023-03-18,E08187,09:12:19,11:25:48,Night
2023-08-29,E03699,06:03:35,16:51:29,Night
2023-10-25,E04382,05:58:53,20:36:56,Evening
2023-12-03,E02707,03:51:52,17:24:14,Night
2023-12-30,E04306,14:56:11,21:31:15,Evening
2023-08-25,E09445,16:05:02,00:51:04,Night
2023-10-14,E06493,12:43:03,05:40:09,Evening
2023-05-18,E00833,01:40:11,14:45:50,Morning
2023-11-27,E03318,11:15:18,15:57:51,Evening
2023-11-08,E08166,00:24:01,00:56:21,Evening
2023-10-14,E04788,22:35:42,14:09:24,Evening
2023-05-17,E08118,11:41:20,19:45:23,Evening
2023-03-27,E02282,19:27:14,18:23:33,Evening
2023-03-25,E02022,16:56:12,11:21:07,Morning
2023-06-01,E01667,02:24:38,07:35:10,Evening
2023-10-24,E06880,01:28:21,08:48:20,Evening
2023-12-03,E05777,16:56:26,08:36:38,Night
2023-02-23,E00103,20:19:21,16:21:00,Night
2023-05-06,E09458,09:50:12,07:34:04,Morning
2023-10-11,E09453,19:25:12,08:59:15,Evening
2023-05-18,E04037,08:04:48,04:07:26,Evening
2023-03-26,E06615,12:55:38,16:28:22,Evening
2023-10-01,E07427,15:58:42,21:58:04,Morning
2023-02-22,E08042,04:06:38,08:36:27,Morning
2023-04-04,E06964,13:12:57,01:49:32,Evening
2023-03-05,E02057,23:34:48,14:04:53,Night
2023-03-02,E06472,03:07:44,14:32:26,Morning
2023-03-03,E04377,10:20:55,22:28:56,Night
2023-11-07,E08786,12:19:42,01:36:37,Night
2023-02-02,E05486,05:48:55,01:34:53,Night
2023-08-18,E03031,17:43:29,20:11:42,Evening
2023-07-23,E07318,02:27:34,14:11:54,Night
2023-01-07,E01748,08:28:17,21:06:56,Evening
2023-07-18,E06374,22:51:33,10:20:30,Morning
2023-06-25,E08078,17:22:45,08:36:41,Evening
2023-09-15,E06016,23:06:40,16:07:45,Night
2023-02-27,E01612,05:57:30,12:23:13,Night
2023-11-17,E09801,16:15:03,16:23:10,Evening
2023-09-13,E06956,10:47:33,09:24:05,Evening
2023-12-14,E02469,12:19:34,03:13:50,Night
2023-04-28,E08241,01:34:17,08:07:56,Night
2023-09-01,E08532,23:11:46,23:44:48,Night
2023-05-03,E06694,17:45:57,07:04:11,Evening
2023-05-06,E07014,05:36:27,21:15:46,Evening
2023-12-28,E01040,23:25:47,02:34:52,Night
