Order ID,Material Cost,Labor Cost,Total Price Charged
O000001,87.42,99.2,244.03
O000002,494.56,112.54,758.46
O000003,326.85,80.85,471.80000000000007
O000004,74.99,346.9,609.8399999999999
O000005,127.83,242.74,551.74
O000006,228.33,199.48,598.94
O000007,355.8,270.97,765.97
O000008,497.09,375.98,941.42
O000009,408.86,366.15,858.11
O000010,257.01,346.81,727.05
O000011,435.36,152.89,638.43
O000012,83.06,193.71,365.74
O000013,102.31,144.25,420.58000000000004
O000014,103.04,293.68,578.08
O000015,223.54,228.09,590.95
O000016,168.03,245.8,571.5600000000001
O000017,426.36,172.62,784.4100000000001
O000018,183.08,106.87,371.33000000000004
O000019,241.25,239.1,514.0600000000001
O000020,266.16,165.05,562.77
O000021,382.06,285.66,861.12
O000022,494.38,335.28,869.41
O000023,195.41,399.19,747.21
O000024,58.15,254.59,484.23
O000025,397.46,381.45,946.53
O000026,203.81,100.38,350.68
O000027,341.27,134.64,528.91
O000028,145.95,206.85,523.8399999999999
O000029,217.75,279.82,644.4
O000030,325.81,114.47,502.52
O000031,143.33,63.86,337.89
O000032,107.94,350.04,478.58000000000004
O000033,230.91,371.98,658.8299999999999
O000034,147.48,267.42,523.63
O000035,157.96,309.68,626.78
O000036,223.84,115.3,422.96
O000037,325.59,82.58,432.37999999999994
O000038,201.91,272.49,673.8
O000039,238.32,32.73,437.43
O000040,320.83,269.25,703.91
O000041,320.96,307.69,769.93
O000042,106.94,362.03,537.91
O000043,119.9,288.69,445.29
O000044,347.65,79.28,589.5999999999999
O000045,113.53,208.33,480.39
O000046,483.38,74.66,588.64
O000047,190.26,44.26,292.27
O000048,159.31,38.11,264.04
O000049,484.41,128.59,669.35
O000050,139.86,67.89,313.04
O000051,459.59,199.73,704.6099999999999
O000052,245.86,188.81,538.8
O000053,194.35,223.6,568.18
O000054,75.37,59.29,226.38
O000055,476.25,98.88,759.48
O000056,459.82,270.51,778.2099999999999
O000057,418.03,100.65,585.43
O000058,150.83,323.73,527.6300000000001
O000059,374.5,166.8,599.5
O000060,396.13,112.94,624.16
O000061,183.44,90.58,338.64
O000062,375.89,338.28,750.37
O000063,396.98,379.07,871.51
O000064,73.62,398.39,622.96
O000065,450.25,126.52,598.86
O000066,118.06,234.46,416.34999999999997
O000067,217.9,108.14,363.13
O000068,210.03,43.04,424.36
O000069,302.07,397.54,882.1600000000001
O000070,401.09,266.2,772.9
O000071,479.01,391.83,1051.71
O000072,300.94,65.06,543.44
O000073,387.65,86.28,671.0
O000074,435.84,318.71,882.1999999999999
O000075,252.91,351.09,728.96
O000076,297.14,186.02,659.0899999999999
O000077,433.43,93.96,620.36
O000078,180.13,253.41,489.67999999999995
O000079,114.41,260.11,468.17999999999995
O000080,162.87,310.31,503.43
O000081,378.57,222.81,779.01
O000082,413.63,298.36,776.2
O000083,136.83,138.02,343.12
O000084,222.95,42.8,380.74
O000085,235.41,184.81,556.21
O000086,270.3,132.09,504.68
O000087,424.05,108.88,683.1600000000001
O000088,485.47,185.96,714.6800000000001
O000089,355.71,131.03,521.44
O000090,280.62,320.55,723.1400000000001
O000091,290.35,61.59,510.14000000000004
O000092,304.81,331.8,719.48
O000093,179.06,373.84,673.63
O000094,300.93,125.77,537.5799999999999
O000095,209.61,112.44,435.1
O000096,328.5,346.49,818.85
O000097,82.92,328.37,498.03000000000003
O000098,68.08,231.43,403.98
O000099,458.93,348.46,881.28
O000100,401.43,62.27,502.74
O000101,150.67,230.9,580.98
O000102,230.22,304.86,719.4300000000001
O000103,140.11,279.99,494.20000000000005
O000104,389.01,332.79,832.48
O000105,241.04,121.34,436.28999999999996
O000106,73.6,167.84,409.07
O000107,179.64,203.75,424.39
O000108,179.31,200.24,432.0
O000109,209.09,310.82,701.5699999999999
O000110,156.86,139.02,477.79999999999995
O000111,122.0,370.29,681.97
O000112,295.5,328.09,793.77
O000113,388.26,275.89,699.52
O000114,127.08,34.65,255.93
O000115,391.18,123.15,650.98
O000116,451.73,305.57,944.5899999999999
O000117,91.26,179.59,352.25
O000118,235.54,224.25,515.73
O000119,188.33,55.96,401.53000000000003
O000120,431.41,233.97,790.1
O000121,75.9,384.19,526.87
O000122,142.18,64.34,389.24
O000123,157.13,167.09,462.20000000000005
O000124,69.01,185.25,286.19
O000125,196.12,39.25,287.88
O000126,376.57,277.81,754.94
O000127,316.63,363.25,853.16
O000128,364.45,38.99,454.08
O000129,421.75,353.81,890.5899999999999
O000130,389.54,334.63,807.1700000000001
O000131,78.29,161.1,354.66999999999996
O000132,218.07,321.4,601.23
O000133,309.24,275.3,683.0999999999999
O000134,499.01,219.9,916.31
O000135,367.89,398.84,900.69
O000136,178.84,55.87,408.34000000000003
O000137,355.98,187.22,647.1400000000001
O000138,189.29,396.02,628.6899999999999
O000139,499.19,50.85,624.27
O000140,262.96,307.9,757.54
O000141,66.81,127.52,285.27
O000142,322.97,219.08,731.1200000000001
O000143,198.94,58.98,292.54
O000144,55.67,383.19,558.15
O000145,283.28,81.49,404.31
O000146,486.59,143.2,746.7099999999999
O000147,243.54,183.31,593.74
O000148,215.23,156.87,452.97
O000149,316.23,171.41,521.8
O000150,415.02,338.36,875.61
O000151,65.62,176.01,281.13
O000152,447.4,122.0,682.77
O000153,173.25,218.09,532.3100000000001
O000154,235.11,136.5,397.01
O000155,81.66,339.42,504.54
O000156,449.96,127.07,677.8499999999999
O000157,443.71,397.24,896.48
O000158,418.6,69.7,530.01
O000159,107.15,221.59,432.24
O000160,111.99,178.1,416.09
O000161,454.19,328.9,851.93
O000162,155.48,295.4,488.7
O000163,349.42,63.06,502.42
O000164,81.55,364.2,490.69
O000165,338.12,174.07,683.3700000000001
O000166,337.88,50.6,493.52000000000004
O000167,467.03,92.75,679.3399999999999
O000168,162.6,229.28,415.63
O000169,259.2,152.08,497.54999999999995
O000170,460.26,301.07,864.04
O000171,258.24,284.63,626.32
O000172,359.57,66.22,578.1099999999999
O000173,167.06,323.49,683.82
O000174,117.8,91.79,360.11
O000175,351.75,129.48,651.48
O000176,96.82,260.8,498.78
O000177,379.58,266.24,839.6099999999999
O000178,108.48,227.14,497.53
O000179,80.35,121.81,268.44
O000180,374.98,396.83,861.81
O000181,495.49,51.63,610.84
O000182,413.53,63.09,605.66
O000183,348.32,178.26,592.67
O000184,447.28,134.8,623.2099999999999
O000185,299.35,198.62,637.79
O000186,480.6,256.27,872.1
O000187,139.21,373.15,551.28
O000188,350.93,42.39,505.06
O000189,295.61,287.79,605.95
O000190,147.69,379.52,725.59
O000191,56.58,347.67,569.05
O000192,320.12,273.77,620.85
O000193,437.91,334.99,834.96
O000194,144.96,224.98,498.99
O000195,350.38,133.98,526.3100000000001
O000196,282.79,128.65,559.01
O000197,206.34,122.9,514.98
O000198,174.62,48.15,343.45000000000005
O000199,369.9,140.33,648.83
O000200,462.56,336.2,883.54
O000201,149.97,231.06,472.38
O000202,339.54,68.75,558.12
O000203,348.02,396.98,806.61
O000204,331.25,122.22,564.88
O000205,370.21,313.22,798.8000000000001
O000206,218.7,377.07,794.48
O000207,478.89,352.28,876.26
O000208,401.82,247.53,820.63
O000209,148.98,258.02,594.4
O000210,373.08,126.86,646.28
O000211,473.74,149.71,755.4300000000001
O000212,114.81,180.24,358.96000000000004
O000213,296.8,183.63,572.64
O000214,122.79,122.63,334.32000000000005
O000215,107.75,42.96,310.20000000000005
O000216,254.8,162.12,515.29
O000217,214.68,262.24,645.63
O000218,367.98,299.89,751.41
O000219,350.75,206.7,626.6600000000001
O000220,77.77,95.45,325.32
O000221,293.77,380.72,701.79
O000222,349.07,34.11,516.96
O000223,482.26,247.84,853.9
O000224,321.95,247.54,720.49
O000225,113.73,81.59,346.11
O000226,433.64,227.87,737.26
O000227,235.76,263.35,661.96
O000228,84.28,267.75,550.4399999999999
O000229,147.07,83.73,275.5
O000230,444.61,153.94,756.9499999999999
O000231,324.57,158.79,584.04
O000232,113.6,327.86,506.43000000000006
O000233,89.75,57.36,198.63000000000002
O000234,484.69,148.96,823.78
O000235,282.21,268.23,715.69
O000236,478.56,163.5,799.27
O000237,274.61,173.44,498.57
O000238,349.52,291.49,782.81
O000239,204.06,76.32,445.43
O000240,465.6,368.84,953.6600000000001
O000241,342.59,361.44,870.51
O000242,238.66,126.78,409.97
O000243,420.39,362.59,918.23
O000244,93.94,49.52,257.53
O000245,56.48,309.82,396.08000000000004
O000246,330.07,267.33,660.38
O000247,109.89,323.51,521.64
O000248,402.88,322.33,861.4100000000001
O000249,67.08,194.1,326.39
O000250,256.33,69.5,442.89
O000251,417.6,372.58,910.7600000000001
O000252,389.75,289.29,733.9499999999999
O000253,146.68,309.43,641.5
O000254,426.97,360.92,940.8100000000001
O000255,167.98,41.43,375.1
O000256,80.76,310.92,475.61
O000257,139.65,332.29,654.49
O000258,296.2,378.37,872.5
O000259,289.9,293.09,746.61
O000260,112.26,109.79,264.48
O000261,82.88,151.59,334.78999999999996
O000262,198.03,308.81,667.76
O000263,238.68,199.75,603.38
O000264,314.88,273.67,779.64
O000265,482.85,312.37,857.73
O000266,220.78,61.63,373.32000000000005
O000267,187.25,201.34,433.22
O000268,398.55,189.2,617.69
O000269,166.67,89.6,298.53999999999996
O000270,326.09,358.75,882.93
O000271,464.03,213.63,751.5899999999999
O000272,302.88,283.3,618.47
O000273,157.3,173.82,372.28
O000274,349.8,45.08,482.23
O000275,377.19,308.6,869.37
O000276,405.51,242.28,682.43
O000277,365.14,312.92,719.7299999999999
O000278,204.88,61.99,318.55
O000279,231.97,91.37,404.05
O000280,409.29,61.36,610.34
O000281,488.45,198.5,835.4200000000001
O000282,89.58,234.46,469.98
O000283,386.94,368.5,879.08
O000284,240.14,122.45,555.11
O000285,417.85,334.95,773.24
O000286,489.13,81.42,748.38
O000287,299.47,341.48,688.3900000000001
O000288,205.03,355.07,617.6
O000289,120.62,111.59,316.82
O000290,479.38,188.19,835.81
O000291,384.8,328.85,893.2400000000001
O000292,116.47,47.23,316.37
O000293,418.38,345.64,856.16
O000294,75.73,68.07,335.85
O000295,440.1,50.59,670.75
O000296,411.0,67.23,603.1600000000001
O000297,88.73,156.03,342.71999999999997
O000298,121.31,355.98,637.1700000000001
O000299,213.6,69.37,319.76000000000005
O000300,453.54,385.67,874.08
O000301,479.73,335.96,989.98
O000302,161.08,34.51,268.40999999999997
O000303,275.2,268.59,602.0699999999999
O000304,418.23,170.56,637.9599999999999
O000305,454.31,288.18,917.58
O000306,341.86,296.17,748.17
O000307,260.81,57.12,446.48
O000308,309.94,170.64,562.73
O000309,79.54,361.55,535.88
O000310,328.53,189.8,547.2099999999999
O000311,94.14,324.91,491.19
O000312,89.32,339.85,481.74
O000313,487.58,397.51,1073.31
O000314,276.13,120.52,453.16999999999996
O000315,59.97,32.88,133.47
O000316,445.22,245.11,777.44
O000317,278.22,392.18,711.9900000000001
O000318,483.91,73.47,582.53
O000319,208.48,259.84,604.65
O000320,50.38,105.43,319.73
O000321,81.47,151.81,376.22
O000322,440.36,240.06,724.9100000000001
O000323,210.87,245.2,534.84
O000324,411.47,212.23,755.33
O000325,261.63,359.45,744.56
O000326,315.2,200.36,602.15
O000327,247.02,134.7,498.17
O000328,373.8,307.57,722.32
O000329,336.76,44.07,437.43
O000330,238.66,355.56,627.83
O000331,403.84,104.17,594.99
O000332,226.84,366.43,729.93
O000333,492.14,376.21,1053.54
O000334,268.87,322.32,611.85
O000335,469.13,333.2,912.2299999999999
O000336,102.98,63.24,303.4
O000337,240.63,95.17,424.18
O000338,367.1,67.38,560.8
O000339,130.04,269.27,459.9699999999999
O000340,70.73,153.15,413.4
O000341,461.55,363.89,903.8100000000001
O000342,339.65,372.76,733.61
O000343,403.02,203.33,783.5600000000001
O000344,430.14,362.12,976.31
O000345,439.71,322.18,805.24
O000346,86.81,282.94,480.87
O000347,161.42,318.61,619.56
O000348,212.7,113.72,455.8399999999999
O000349,442.84,198.89,678.27
O000350,110.72,256.76,529.97
O000351,159.01,69.75,255.51
O000352,77.39,213.23,486.26
O000353,348.66,183.53,578.5500000000001
O000354,89.61,41.53,323.12
O000355,82.18,288.61,427.86
O000356,286.35,345.94,657.93
O000357,78.95,332.31,509.56
O000358,398.75,300.45,877.25
O000359,373.55,224.41,648.3100000000001
O000360,138.28,245.22,500.87
O000361,387.51,206.56,682.1199999999999
O000362,276.77,89.76,551.66
O000363,313.47,231.83,612.2900000000001
O000364,135.57,139.36,332.03000000000003
O000365,225.55,167.95,416.85
O000366,353.26,30.15,577.78
O000367,293.81,145.97,506.93999999999994
O000368,256.03,30.96,364.36999999999995
O000369,259.31,196.98,565.8
O000370,476.57,376.67,926.11
O000371,184.48,58.26,373.78999999999996
O000372,70.99,344.15,558.1
O000373,332.88,49.55,551.89
O000374,263.26,84.27,456.84
O000375,237.86,249.0,533.45
O000376,420.75,38.2,612.24
O000377,354.23,316.84,701.3199999999999
O000378,151.1,276.92,467.49
O000379,234.25,141.22,556.96
O000380,293.47,168.04,623.4
O000381,183.5,221.98,477.93
O000382,381.01,221.27,739.4
O000383,481.15,128.25,716.88
O000384,292.53,43.62,406.10999999999996
O000385,492.4,374.74,1044.98
O000386,146.65,283.46,575.01
O000387,274.91,393.28,850.7800000000001
O000388,119.34,358.39,575.27
O000389,292.49,140.91,571.22
O000390,109.77,86.57,218.76
O000391,66.87,153.34,324.13
O000392,290.66,133.47,619.29
O000393,299.99,86.65,518.0899999999999
O000394,164.19,350.52,559.5600000000001
O000395,484.43,276.42,835.73
O000396,413.85,206.42,640.64
O000397,283.21,75.89,397.46999999999997
O000398,234.82,167.99,503.8
O000399,282.94,65.83,535.74
O000400,268.96,113.72,528.54
O000401,138.84,344.04,564.56
O000402,387.06,391.63,859.76
O000403,157.28,115.57,459.54
O000404,481.75,146.92,774.2099999999999
O000405,195.9,370.16,708.3000000000001
O000406,423.26,60.48,538.98
O000407,459.21,304.78,846.25
O000408,400.58,296.98,867.0799999999999
O000409,339.93,395.2,791.55
O000410,121.7,365.7,544.73
O000411,438.91,61.54,570.35
O000412,53.97,71.98,181.59
O000413,369.21,368.14,931.7699999999999
O000414,127.61,43.37,278.4
O000415,137.56,387.92,627.03
O000416,234.43,170.17,467.04
O000417,290.19,316.27,677.28
O000418,466.63,122.56,760.8900000000001
O000419,350.56,201.01,657.3199999999999
O000420,403.85,297.32,754.47
O000421,168.02,90.08,332.98
O000422,465.33,232.35,758.81
O000423,125.55,332.1,632.45
O000424,280.9,128.22,447.84000000000003
O000425,253.54,372.36,789.54
O000426,387.92,286.85,781.93
O000427,196.03,128.78,501.23
O000428,435.45,205.07,723.29
O000429,494.07,211.09,791.5
O000430,282.24,151.17,560.56
O000431,328.63,314.77,764.99
O000432,486.89,102.78,724.4399999999999
O000433,234.4,276.15,664.6999999999999
O000434,486.28,101.87,666.55
O000435,93.0,72.79,195.77
O000436,419.43,235.36,687.02
O000437,235.95,89.41,482.26
O000438,367.0,379.53,927.42
O000439,305.62,396.85,861.1700000000001
O000440,231.51,71.43,415.45
O000441,273.74,380.9,840.3299999999999
O000442,79.87,276.52,478.64
O000443,119.24,339.83,564.13
O000444,360.97,165.02,713.65
O000445,56.93,90.47,313.88
O000446,462.69,55.4,585.14
O000447,154.76,388.2,685.37
O000448,110.38,328.13,459.71999999999997
O000449,240.13,266.72,686.24
O000450,256.43,148.58,428.17
O000451,394.53,56.01,608.6999999999999
O000452,130.46,36.7,316.99
O000453,321.99,360.89,830.65
O000454,442.6,359.99,975.74
O000455,255.0,75.13,422.67
O000456,462.73,381.51,988.39
O000457,206.49,160.57,508.63
O000458,482.59,50.85,641.55
O000459,375.88,191.22,610.09
O000460,376.4,320.52,816.27
O000461,71.57,192.62,431.64
O000462,410.61,92.36,630.07
O000463,143.15,386.32,725.11
O000464,421.16,396.04,928.1800000000001
