Order ID,Ship Date,Delivery Status,Carrier
O000001,2023-03-25,In Transit,FedEx
O000002,2023-05-29,Delivered,USPS
O000003,2023-06-21,Delivered,FedEx
O000004,2023-02-10,Delivered,FedEx
O000005,2023-01-21,In Transit,DHL
O000006,2023-09-30,Delivered,UPS
O000007,2023-07-19,Delivered,FedEx
O000008,2023-05-22,Shipped,DHL
O000009,2023-02-25,Delivered,UPS
O000010,2023-11-02,Delayed,DHL
O000011,2023-10-03,In Transit,UPS
O000012,2023-11-16,Delayed,FedEx
O000013,2023-05-04,Delivered,FedEx
O000014,2023-03-11,Delayed,USPS
O000015,2023-04-28,In Transit,USPS
O000016,2023-01-31,Shipped,FedEx
O000017,2023-09-17,Delayed,UPS
O000018,2023-06-06,Delayed,FedEx
O000019,2023-10-14,In Transit,FedEx
O000020,2023-04-27,Delivered,USPS
O000021,2023-10-28,Delayed,UPS
O000022,2023-10-09,In Transit,FedEx
O000023,2023-04-07,In Transit,USPS
O000024,2023-08-23,Shipped,FedEx
O000025,2023-01-27,Delivered,UPS
O000026,2023-08-26,Delayed,USPS
O000027,2023-01-28,Delayed,USPS
O000028,2023-03-27,In Transit,UPS
O000029,2023-02-18,Shipped,FedEx
O000030,2023-05-23,Delivered,USPS
O000031,2023-08-12,Delivered,FedEx
O000032,2023-04-16,Delayed,DHL
O000033,2023-05-11,Delivered,USPS
O000034,2023-10-11,Shipped,UPS
O000035,2023-01-14,In Transit,FedEx
O000036,2023-05-21,In Transit,DHL
O000037,2023-08-12,Delayed,FedEx
O000038,2023-02-26,Delivered,UPS
O000039,2023-07-22,Shipped,USPS
O000040,2023-01-20,In Transit,DHL
O000041,2023-05-28,Delayed,FedEx
O000042,2023-08-18,Shipped,USPS
O000043,2023-11-18,Shipped,UPS
O000044,2023-11-22,Delayed,FedEx
O000045,2023-12-20,In Transit,DHL
O000046,2023-11-16,Delivered,DHL
O000047,2023-12-09,Delayed,UPS
O000048,2023-06-16,Delivered,FedEx
O000049,2023-07-31,Delivered,FedEx
O000050,2023-10-28,Shipped,USPS
O000051,2023-11-29,Delivered,DHL
O000052,2023-09-08,Shipped,UPS
O000053,2023-11-13,In Transit,USPS
O000054,2023-06-13,Shipped,FedEx
O000055,2023-05-07,Shipped,USPS
O000056,2023-01-17,Shipped,UPS
O000057,2024-01-09,Delayed,DHL
O000058,2023-03-15,Delayed,USPS
O000059,2023-10-16,Delayed,USPS
O000060,2023-11-03,In Transit,UPS
O000061,2023-03-07,Delivered,USPS
O000062,2023-11-30,In Transit,USPS
O000063,2023-05-19,Delayed,DHL
O000064,2023-11-05,In Transit,DHL
O000065,2023-01-26,Delayed,DHL
O000066,2023-08-05,Delivered,FedEx
O000067,2023-05-25,Delivered,USPS
O000068,2023-11-15,In Transit,FedEx
O000069,2023-06-06,Delivered,USPS
O000070,2023-06-28,Delivered,DHL
O000071,2023-10-23,Delayed,FedEx
O000072,2023-05-23,Shipped,USPS
O000073,2023-06-15,Delayed,USPS
O000074,2023-05-03,Delivered,USPS
O000075,2023-03-05,Shipped,USPS
O000076,2023-04-08,Delivered,FedEx
O000077,2023-03-31,Shipped,UPS
O000078,2023-03-01,Delayed,DHL
O000079,2023-12-10,Delivered,FedEx
O000080,2023-04-02,Shipped,USPS
O000081,2023-05-15,Delayed,FedEx
O000082,2023-03-11,Delayed,DHL
O000083,2023-04-07,Delivered,FedEx
O000084,2023-02-01,Delayed,FedEx
O000085,2023-08-13,Delivered,USPS
O000086,2023-03-06,Delayed,DHL
O000087,2023-10-25,Delayed,USPS
O000088,2023-10-25,Delayed,FedEx
O000089,2023-07-11,In Transit,FedEx
O000090,2023-11-06,Delivered,DHL
O000091,2023-02-26,Delayed,UPS
O000092,2023-05-31,In Transit,UPS
O000093,2023-10-18,Delivered,UPS
O000094,2023-02-02,Shipped,UPS
O000095,2023-09-20,In Transit,USPS
O000096,2023-03-16,In Transit,FedEx
O000097,2023-10-28,Delivered,DHL
O000098,2023-08-04,Shipped,DHL
O000099,2023-04-17,Delayed,UPS
O000100,2023-04-03,Delayed,FedEx
O000101,2023-01-13,Delivered,DHL
O000102,2023-08-03,Delivered,USPS
O000103,2023-08-27,Delayed,UPS
O000104,2023-09-01,In Transit,DHL
O000105,2023-01-07,In Transit,DHL
O000106,2023-06-02,In Transit,USPS
O000107,2023-08-18,Shipped,FedEx
O000108,2023-01-27,In Transit,UPS
O000109,2023-12-08,In Transit,UPS
O000110,2023-07-01,In Transit,FedEx
O000111,2023-05-14,Delivered,DHL
O000112,2023-09-22,In Transit,DHL
O000113,2023-05-17,Delivered,DHL
O000114,2023-03-27,Delivered,UPS
O000115,2023-06-24,Delivered,FedEx
O000116,2023-09-17,In Transit,FedEx
O000117,2023-10-18,Delayed,UPS
O000118,2023-03-27,In Transit,UPS
O000119,2023-03-30,Shipped,UPS
O000120,2023-01-31,In Transit,FedEx
O000121,2023-09-29,Delivered,USPS
O000122,2023-03-29,In Transit,DHL
O000123,2023-11-26,Delayed,FedEx
O000124,2023-03-09,Shipped,FedEx
O000125,2023-07-25,Delivered,DHL
O000126,2023-06-12,Delayed,DHL
O000127,2023-08-12,Delayed,DHL
O000128,2023-02-08,Delayed,DHL
O000129,2023-11-10,Shipped,USPS
O000130,2023-03-09,In Transit,DHL
O000131,2023-09-19,In Transit,UPS
O000132,2023-04-22,Shipped,DHL
O000133,2023-07-14,In Transit,USPS
O000134,2024-01-07,Delivered,UPS
O000135,2023-12-19,In Transit,FedEx
O000136,2023-11-22,In Transit,UPS
O000137,2023-12-15,In Transit,FedEx
O000138,2023-05-20,Delivered,FedEx
O000139,2023-06-28,In Transit,FedEx
O000140,2023-07-10,Delivered,FedEx
O000141,2023-08-24,Shipped,UPS
O000142,2023-09-06,In Transit,UPS
O000143,2023-09-25,In Transit,DHL
O000144,2023-12-15,Delayed,USPS
O000145,2023-05-05,Shipped,UPS
O000146,2023-08-30,Shipped,FedEx
O000147,2023-10-27,Shipped,FedEx
O000148,2023-12-15,Delivered,DHL
O000149,2023-08-11,Shipped,DHL
O000150,2023-08-22,Shipped,UPS
O000151,2023-04-17,Delayed,UPS
O000152,2023-02-19,Shipped,FedEx
O000153,2023-11-21,In Transit,FedEx
O000154,2023-08-06,In Transit,UPS
O000155,2023-10-14,Delayed,UPS
O000156,2023-08-30,Delivered,USPS
O000157,2023-02-18,In Transit,UPS
O000158,2023-10-26,In Transit,USPS
O000159,2023-11-01,Shipped,UPS
O000160,2023-01-22,In Transit,UPS
O000161,2023-11-04,In Transit,DHL
O000162,2023-01-12,In Transit,USPS
O000163,2023-07-27,Delayed,UPS
O000164,2023-01-25,Delivered,FedEx
O000165,2023-07-17,In Transit,UPS
O000166,2023-05-13,Delayed,USPS
O000167,2023-08-12,Delayed,DHL
O000168,2023-03-24,Delivered,DHL
O000169,2023-02-20,In Transit,USPS
O000170,2023-07-03,Delivered,USPS
O000171,2023-11-30,Shipped,FedEx
O000172,2023-02-19,Shipped,UPS
O000173,2023-01-24,Shipped,FedEx
O000174,2023-07-10,Shipped,DHL
O000175,2023-01-21,Delivered,FedEx
O000176,2023-04-21,In Transit,USPS
O000177,2023-05-03,Delivered,DHL
O000178,2023-12-18,Delayed,FedEx
O000179,2023-08-04,Shipped,UPS
O000180,2023-11-15,Delayed,DHL
O000181,2023-03-16,Delivered,USPS
O000182,2023-07-26,In Transit,DHL
O000183,2023-08-21,In Transit,DHL
O000184,2023-08-05,Delayed,DHL
O000185,2023-04-29,Delayed,USPS
O000186,2023-08-26,Delivered,USPS
O000187,2023-10-09,Shipped,FedEx
O000188,2023-07-17,Delivered,UPS
O000189,2023-08-08,Delayed,USPS
O000190,2023-12-26,Delayed,DHL
O000191,2023-06-22,In Transit,UPS
O000192,2023-06-09,In Transit,DHL
O000193,2023-07-06,Shipped,DHL
O000194,2023-02-02,Delivered,UPS
O000195,2023-08-31,Delayed,UPS
O000196,2023-07-17,Delivered,UPS
O000197,2023-10-05,Delayed,DHL
O000198,2023-04-01,Delivered,DHL
O000199,2023-04-23,Delivered,FedEx
O000200,2023-04-26,In Transit,USPS
O000201,2023-12-13,Shipped,FedEx
O000202,2023-07-02,Shipped,USPS
O000203,2023-06-12,In Transit,UPS
O000204,2023-05-02,Delayed,FedEx
O000205,2023-03-20,Shipped,USPS
O000206,2023-05-11,Delayed,USPS
O000207,2023-11-10,Delayed,UPS
O000208,2023-08-30,Delayed,FedEx
O000209,2023-07-17,Shipped,DHL
O000210,2023-06-17,In Transit,USPS
O000211,2023-07-06,Shipped,FedEx
O000212,2023-08-20,Shipped,UPS
O000213,2023-08-23,In Transit,UPS
O000214,2023-07-31,In Transit,FedEx
O000215,2023-05-22,Delayed,UPS
O000216,2023-10-08,Shipped,UPS
O000217,2023-04-06,Delivered,FedEx
O000218,2023-05-10,Delivered,USPS
O000219,2023-12-25,Delayed,FedEx
O000220,2023-03-06,Shipped,USPS
O000221,2023-05-09,Shipped,USPS
O000222,2023-12-23,In Transit,FedEx
O000223,2023-02-14,In Transit,FedEx
O000224,2023-07-13,Delivered,UPS
O000225,2023-09-26,Delivered,DHL
O000226,2023-08-10,Shipped,DHL
O000227,2023-04-15,Delivered,UPS
O000228,2023-02-26,Shipped,USPS
O000229,2023-07-29,Delayed,DHL
O000230,2023-05-26,Shipped,USPS
O000231,2023-10-02,Delivered,UPS
O000232,2023-03-24,Shipped,USPS
O000233,2023-10-29,In Transit,DHL
O000234,2023-11-03,Delayed,DHL
O000235,2023-06-24,Shipped,FedEx
O000236,2023-11-01,In Transit,USPS
O000237,2023-02-27,Delayed,DHL
O000238,2024-01-06,Delayed,DHL
O000239,2023-10-14,Delivered,USPS
O000240,2023-09-09,Delivered,USPS
