Employee ID,Overtime Hours,Regular Hours,Pay per Hour,Total Salary
E07658,17,147,48.58,7967.12
E03838,10,129,39.41,5477.99
E06259,6,123,24.52,3163.08
E07079,17,170,43.18,8074.66
E03589,16,140,32.19,5021.64
E00453,2,165,26.41,4410.47
E00533,1,153,34.64,5334.56
E02915,4,161,21.0,3465.0
E03646,10,170,10.89,1960.2
E07440,12,139,13.99,2112.49
E00361,9,147,32.58,5082.48
E06636,13,150,22.77,3711.51
E08743,19,161,42.11,7579.8
E07700,18,148,39.25,6515.5
E06613,20,143,10.89,1775.07
E03569,6,120,29.16,3674.16
E09119,13,157,40.3,6851.0
E01327,2,177,14.61,2615.19
E05626,19,165,30.58,5626.72
E06618,4,169,36.31,6281.63
E09587,4,148,30.23,4594.96
E02257,3,127,31.41,4083.3
E02994,11,168,30.16,5398.64
E06508,17,156,20.46,3539.58
E04841,10,140,32.55,4882.5
E01639,2,147,27.51,4098.99
E04901,17,149,35.99,5974.34
E09300,17,174,45.34,8659.94
E05139,10,148,34.2,5403.6
E02707,16,132,30.56,4522.88
E03306,17,157,28.0,4872.0
E05708,1,180,37.45,6778.45
E08931,2,147,33.06,4925.94
E02861,10,136,48.22,7040.12
E08165,7,172,48.96,8763.84
E05704,15,121,28.29,3847.44
E04451,14,138,18.77,2853.04
E07799,17,124,19.6,2763.6
E08783,10,138,23.21,3435.08
E08226,14,159,40.24,6961.52
E07133,8,148,10.28,1603.68
E09492,4,141,25.85,3748.25
E03584,14,135,35.03,5219.47
E07043,18,128,37.03,5406.38
E06738,4,154,12.66,2000.28
E01622,11,151,14.71,2383.02
E06409,6,175,29.56,5350.36
E08892,17,156,16.15,2793.95
E05225,19,137,28.24,4405.44
E05602,9,136,27.44,3978.8
E05964,7,136,41.2,5891.6
E03552,19,174,18.93,3653.49
E03859,7,161,25.68,4314.24
E03229,15,155,44.28,7527.6
E00742,14,142,34.75,5421.0
E06330,11,162,37.89,6554.97
E07422,13,140,11.26,1722.78
E09953,15,141,21.55,3361.8
E05846,15,145,37.5,6000.0
E06568,1,151,17.51,2661.52
E02753,10,162,22.89,3937.08
E04824,14,151,12.35,2037.75
E02451,5,127,32.67,4312.44
E01069,17,155,41.51,7139.72
E06219,1,133,43.72,5858.48
