Date,Employee ID,Machine ID,Label Type,Units Produced
2023-11-05,E06113,M0082,Type B,788
2023-09-16,E07723,M0042,Type A,398
2023-10-14,E09736,M0052,Type D,505
2023-07-24,E03814,M0016,Type B,686
2023-05-22,E08495,M0025,Type D,912
2023-01-03,E05202,M0003,Type A,759
2023-04-14,E04468,M0018,Type B,926
2023-03-27,E01991,M0081,Type B,650
2023-04-26,E08762,M0125,Type A,113
2023-11-22,E08942,M0080,Type B,807
2023-01-05,E03130,M0028,Type B,227
2023-07-12,E07610,M0188,Type B,373
2023-09-12,E00419,M0070,Type C,78
2023-08-31,E05038,M0042,Type A,562
2023-07-16,E05135,M0085,Type B,50
2023-12-05,E08927,M0084,Type D,275
2023-12-09,E09482,M0189,Type C,340
2023-03-17,E02192,M0009,Type A,733
2023-09-18,E06800,M0190,Type B,95
2023-11-06,E03087,M0099,Type D,862
2023-07-26,E02792,M0116,Type A,13
2023-12-27,E07668,M0088,Type A,219
2023-04-24,E00502,M0136,Type C,20
2023-04-15,E01462,M0020,Type B,426
2023-04-04,E06428,M0149,Type A,271
2023-07-20,E09027,M0082,Type D,572
2023-05-24,E00629,M0114,Type A,200
2023-04-10,E05820,M0145,Type A,192
2023-08-21,E09541,M0179,Type D,46
2023-03-21,E08406,M0009,Type C,129
2023-04-29,E06154,M0165,Type D,630
2023-11-25,E06093,M0071,Type D,547
2023-07-26,E05035,M0106,Type B,527
2023-02-05,E02021,M0115,Type A,50
2023-05-19,E09674,M0121,Type D,11
2023-03-03,E02047,M0190,Type B,108
2023-08-19,E01463,M0009,Type A,176
2023-11-06,E00228,M0047,Type C,568
2023-02-25,E05138,M0133,Type C,971
2023-03-11,E08687,M0009,Type D,221
2023-12-06,E08475,M0043,Type B,24
2023-07-10,E09704,M0015,Type C,517
2023-08-23,E01677,M0100,Type A,776
2023-10-05,E04099,M0168,Type A,115
2023-03-09,E07410,M0071,Type D,248
2023-01-05,E06743,M0155,Type C,523
2023-04-08,E04144,M0107,Type D,28
2023-07-09,E05912,M0080,Type A,731
2023-11-07,E00523,M0085,Type D,915
2023-02-09,E01913,M0037,Type B,984
2023-01-28,E07323,M0064,Type B,959
2023-11-29,E00742,M0076,Type C,516
2023-04-09,E09472,M0136,Type C,197
2023-04-24,E06597,M0019,Type C,123
2023-04-12,E02325,M0063,Type B,759
2023-11-09,E03947,M0160,Type A,543
2023-04-15,E00701,M0177,Type D,442
2023-08-26,E09357,M0171,Type B,220
2023-08-30,E06656,M0123,Type B,917
2023-04-23,E02401,M0167,Type D,15
2023-05-03,E04379,M0040,Type A,961
2023-07-02,E08672,M0062,Type A,771
2023-06-25,E01848,M0060,Type A,446
2023-10-08,E01141,M0065,Type B,619
2023-09-06,E01753,M0062,Type A,285
2023-03-02,E00860,M0040,Type C,426
2023-04-03,E07853,M0054,Type C,541
2023-09-01,E00310,M0093,Type D,535
2023-10-10,E02731,M0155,Type B,786
2023-07-12,E06145,M0034,Type C,696
2023-10-07,E01375,M0023,Type C,430
2023-01-01,E05926,M0078,Type C,867
2023-12-22,E04055,M0010,Type B,535
2023-09-13,E01808,M0090,Type D,844
2023-02-02,E06192,M0078,Type A,418
2023-04-04,E05507,M0192,Type C,555
2023-08-15,E05145,M0095,Type C,156
2023-02-01,E08301,M0028,Type D,505
2023-09-12,E02471,M0168,Type A,468
2023-04-29,E08396,M0005,Type A,150
2023-12-24,E09252,M0155,Type B,647
2023-09-16,E06986,M0027,Type D,444
2023-02-25,E07682,M0026,Type A,642
2023-01-24,E08510,M0068,Type D,259
2023-10-05,E00213,M0076,Type C,357
2023-09-12,E04957,M0077,Type B,66
2023-10-01,E06006,M0131,Type D,465
2023-05-08,E08655,M0101,Type C,349
2023-01-25,E08399,M0099,Type C,579
2023-04-30,E03992,M0042,Type C,557
2023-10-02,E06473,M0011,Type A,200
2023-07-08,E08627,M0031,Type C,379
2023-06-14,E06739,M0076,Type A,958
2023-08-04,E04392,M0066,Type C,378
2023-02-20,E08440,M0051,Type D,71
2023-08-03,E00127,M0150,Type C,220
2023-04-16,E03243,M0101,Type C,125
2023-08-20,E08751,M0002,Type A,891
2023-06-21,E06729,M0165,Type C,88
2023-08-02,E01403,M0187,Type A,624
2023-10-26,E01936,M0156,Type A,663
2023-03-27,E02004,M0059,Type A,530
2023-11-08,E01510,M0013,Type A,440
2023-02-03,E09767,M0028,Type B,362
2023-08-16,E09738,M0193,Type A,256
2023-06-01,E01432,M0191,Type D,548
2023-03-07,E02796,M0091,Type B,213
2023-06-28,E01494,M0095,Type C,642
2023-05-18,E03119,M0075,Type D,197
2023-09-20,E04229,M0110,Type A,795
2023-08-27,E07966,M0050,Type C,357
2023-04-21,E00409,M0179,Type C,671
2023-10-08,E00268,M0144,Type A,814
2023-02-18,E01408,M0006,Type D,843
2023-09-20,E05396,M0128,Type D,151
2023-03-20,E02152,M0183,Type B,475
2023-07-17,E09260,M0048,Type B,178
2023-08-27,E04392,M0174,Type D,806
2023-04-30,E07168,M0130,Type C,64
2023-01-19,E00178,M0033,Type D,142
2023-05-30,E03371,M0054,Type D,128
2023-02-27,E02238,M0004,Type B,959
2023-05-09,E06219,M0118,Type A,430
2023-02-24,E04619,M0049,Type B,567
2023-01-30,E00146,M0101,Type D,793
2023-02-26,E05557,M0068,Type A,572
2023-03-03,E09464,M0115,Type A,529
2023-05-24,E09838,M0060,Type B,983
2023-08-11,E05444,M0166,Type B,514
2023-01-22,E00128,M0200,Type D,705
2023-05-27,E06051,M0089,Type D,28
2023-12-12,E03220,M0149,Type B,605
2023-01-02,E05120,M0016,Type B,310
2023-06-30,E00376,M0165,Type B,173
2023-05-19,E01485,M0129,Type C,106
2023-01-08,E07872,M0051,Type D,614
2023-02-01,E07232,M0186,Type B,631
2023-10-13,E09166,M0178,Type B,671
2023-11-17,E08122,M0082,Type A,427
2023-09-10,E03471,M0145,Type B,484
2023-03-11,E07423,M0003,Type A,673
2023-01-17,E05945,M0073,Type C,579
2023-01-22,E02745,M0037,Type C,652
