Order ID,Production Start Date,Completion Date,Delays (days),Issues
O000001,2023-03-20,2023-03-25,3,Machine Breakdown
O000002,2023-05-26,2023-05-27,3,Machine Breakdown
O000003,2023-06-17,2023-06-19,3,Material Shortage
O000004,2023-02-04,2023-02-10,2,Material Shortage
O000005,2023-01-13,2023-01-21,4,Machine Breakdown
O000006,2023-09-24,2023-09-27,2,Quality Issue
O000007,2023-07-11,2023-07-19,0,None
O000008,2023-05-16,2023-05-20,0,Material Shortage
O000009,2023-02-19,2023-02-25,3,None
O000010,2023-10-27,2023-10-31,3,None
O000011,2023-09-21,2023-10-01,1,Material Shortage
O000012,2023-11-11,2023-11-15,0,Machine Breakdown
O000013,2023-04-21,2023-05-01,1,Material Shortage
O000014,2023-02-27,2023-03-09,2,Quality Issue
O000015,2023-04-16,2023-04-25,3,Material Shortage
O000016,2023-01-29,2023-01-30,2,Material Shortage
O000017,2023-09-07,2023-09-17,1,None
O000018,2023-06-05,2023-06-06,2,Material Shortage
O000019,2023-10-11,2023-10-12,2,Quality Issue
O000020,2023-04-20,2023-04-24,0,None
O000021,2023-10-25,2023-10-27,4,None
O000022,2023-09-29,2023-10-08,0,None
O000023,2023-03-29,2023-04-07,3,None
O000024,2023-08-11,2023-08-20,0,None
O000025,2023-01-16,2023-01-25,2,Material Shortage
O000026,2023-08-16,2023-08-26,3,Machine Breakdown
O000027,2023-01-24,2023-01-27,0,Machine Breakdown
O000028,2023-03-22,2023-03-26,1,Machine Breakdown
O000029,2023-02-13,2023-02-17,0,None
O000030,2023-05-17,2023-05-22,2,Quality Issue
O000031,2023-08-05,2023-08-11,3,None
O000032,2023-04-10,2023-04-13,3,Material Shortage
O000033,2023-04-29,2023-05-08,2,Material Shortage
O000034,2023-10-08,2023-10-11,3,Material Shortage
O000035,2023-01-06,2023-01-12,1,Quality Issue
O000036,2023-05-09,2023-05-19,4,None
O000037,2023-08-04,2023-08-11,0,Quality Issue
O000038,2023-02-18,2023-02-23,1,Machine Breakdown
O000039,2023-07-11,2023-07-21,2,Material Shortage
O000040,2023-01-15,2023-01-18,0,Quality Issue
O000041,2023-05-20,2023-05-27,1,None
O000042,2023-08-11,2023-08-16,2,None
O000043,2023-11-13,2023-11-15,0,Quality Issue
O000044,2023-11-16,2023-11-21,2,Machine Breakdown
O000045,2023-12-12,2023-12-18,0,Quality Issue
O000046,2023-11-12,2023-11-13,1,Machine Breakdown
O000047,2023-12-04,2023-12-06,0,Quality Issue
O000048,2023-06-06,2023-06-15,2,Material Shortage
O000049,2023-07-24,2023-07-29,4,None
O000050,2023-10-19,2023-10-26,1,Quality Issue
O000051,2023-11-16,2023-11-26,0,Machine Breakdown
O000052,2023-08-29,2023-09-05,0,Quality Issue
O000053,2023-11-06,2023-11-11,2,Machine Breakdown
O000054,2023-06-03,2023-06-10,2,Machine Breakdown
O000055,2023-04-27,2023-05-04,3,None
O000056,2023-01-13,2023-01-14,0,Material Shortage
O000057,2023-12-27,2024-01-06,3,Material Shortage
O000058,2023-03-04,2023-03-12,3,Material Shortage
O000059,2023-10-12,2023-10-14,1,Quality Issue
